	1	0	1	18	24	44	52	116	283
	355	133	112	94	265	225	200	233	279
	814	352	45	121	213	231	213	221	233
	699	437	75	146	194	233	305	223	245
	464	322	282	207	241	326	266	251	294
	184	287	334	505	440	352	332	345	285
	46	115	278	606	497	431	415	327	242
	2	44	168	426	330	306	179	169	96
	7	113	289	414	337	190	192	130	109
	5	189	330	463	242	185	176	250	97
	10	115	290	281	194	130	231	208	143
	29	354	250	296	230	310	300	318	239
	160	151	190	254	327	284	305	279	263
	76	33	3	108	265	323	334	248	238
	13	0	1	20	122	165	233	176	221

1017
