	nan	4871.42948718	4290.96028881	4025.70283019	4028.62236629	4224.91838955	4726.12517007	5625.83063328	6074.24425887
	nan	6981.92857143	4423.62021858	4026.26666667	4116.19944979	4310.5873494	5202.01890359	5835.94402985	5901.35371179
	nan	8287.0	4281.34875445	4320.17302053	4945.1255814	4817.66612642	5399.66921606	6804.78461538	7024.85542169
	7031.6	7374.66972477	5031.87569061	4567.28231798	5523.18518519	5660.33161512	5620.93934142	6142.51521298	7685.81534772
	4398.49	5926.30588235	4891.65174129	4515.3	5144.83372922	5497.66200466	5706.35394456	6115.88340807	6811.01745636
	4116.55220667	4434.68555759	4256.94947121	4189.77304965	4693.33038348	4669.89664804	5609.60321716	6139.61162791	5726.74332649
	4026.92621664	4332.16584887	4197.74550898	4162.35135135	4842.27139364	5543.66801619	6137.06185567	6259.26681128	5791.50994575
	3943.71921569	4086.65957447	4278.50434783	4204.92762364	5573.63473054	6688.527897	7056.77327935	6675.96153846	5653.64160839
	3980.32941176	4019.26621735	4096.37454545	4546.28882834	6545.21428571	6747.77826087	7392.52121212	7151.89405685	6062.74618321
	3998.05960784	4022.20470383	4138.98393574	4390.3797954	6337.56359102	7074.51515152	6963.17506631	7152.25925926	6605.22621564
	3962.49356913	4068.67964824	4319.47101449	4403.4021164	5667.40533981	6555.4	6931.14588235	6628.16306954	6740.92665037
	3918.30196937	4127.74657534	4373.64682003	4446.87225275	5056.45758929	5630.4610245	6377.71747967	6439.79069767	6554.61167513
	4208.60869565	5425.41176471	5118.37625755	4483.99697428	6115.69124424	5805.89512195	6052.40979955	6932.60585586	8714.85174419
	nan	8870.48	6850.02112676	5335.64845173	6691.7038961	6875.9924812	7067.2454955	8903.14675052	9495.33333333
	nan	11104.8888889	6870.64785992	4929.50623053	5699.04639175	5969.42034549	8021.16642121	8571.19214586	8750.31223022
