0	875	891	917	924	921	832	842	760	503	255	216	649	803	839	832	793	807	842	886	922	939	947	947	950	
950	938	929	748	680	593	442	450	337	132	61	288	349	435	470	525	464	496	584	724	841	903	933	943	948	
950	895	627	142	30	25	21	52	63	52	41	38	48	76	113	165	169	219	322	498	676	815	892	933	943	
949	689	73	10	7	1	1	0	0	0	0	1	8	22	52	90	110	154	214	331	514	683	806	893	938	
947	463	40	9	2	0	0	0	0	0	0	0	2	18	49	91	123	166	209	280	398	546	713	833	918	
940	489	68	9	3	1	1	0	0	0	0	5	24	62	100	138	178	204	226	271	353	473	626	764	879	
934	626	159	40	11	5	4	2	3	5	17	43	94	138	178	223	249	258	254	278	337	421	556	699	841	
921	659	312	113	64	35	24	20	25	48	87	145	214	254	306	338	342	328	300	312	354	420	529	661	805	
906	734	396	228	128	96	82	79	101	150	215	284	351	404	425	440	427	398	347	351	385	436	534	650	793	
895	893	581	322	228	157	138	162	206	288	364	404	490	524	533	521	500	449	403	399	403	445	515	620	758	
870	757	655	405	290	249	229	257	335	411	469	498	586	610	601	588	552	499	448	432	409	427	477	546	660	
787	858	681	479	389	347	343	400	469	525	560	617	666	673	658	626	585	524	463	417	385	371	401	434	512	
644	861	674	535	467	442	462	504	562	589	646	690	715	702	680	642	592	512	443	376	341	304	286	266	278	
328	847	703	583	537	534	535	513	613	665	726	734	749	736	698	663	582	501	404	335	281	230	169	128	91	
70	816	695	596	574	570	495	479	592	745	769	775	781	763	715	663	570	475	363	293	220	149	88	52	27	
8	817	654	580	551	557	564	681	734	750	796	789	803	773	717	649	540	431	322	235	167	86	45	22	4	
0	766	616	544	542	608	692	776	819	819	795	809	813	783	712	628	501	394	275	188	99	51	22	4	0	
0	710	533	473	568	698	764	799	835	848	845	815	793	750	667	558	458	349	233	138	70	24	6	0	0	
0	677	560	559	649	751	798	812	850	855	864	853	831	787	682	582	459	310	196	104	45	15	0	0	0	
0	657	546	438	492	526	541	585	629	723	766	813	798	761	695	582	439	285	167	76	26	6	0	0	0	
0	617	529	561	659	734	769	793	830	845	853	842	827	772	683	575	404	266	141	63	17	3	0	0	0	
0	592	524	545	642	722	771	790	814	826	835	825	821	766	670	542	384	248	125	54	15	3	0	0	0	
0	555	489	511	601	683	739	768	793	817	809	811	805	751	663	539	374	228	119	51	13	3	0	0	0	
0	512	467	476	556	644	709	756	771	782	796	798	783	742	653	547	383	234	125	51	16	4	0	0	0	
0	587	537	551	638	711	757	782	796	816	819	819	812	770	700	605	439	279	171	68	21	8	0	0	0	
0	675	613	638	709	754	799	809	852	855	853	844	841	815	752	656	527	363	233	121	43	9	0	0	0	
0	724	662	685	752	803	837	861	882	881	873	870	869	846	791	717	614	464	304	182	76	18	4	0	0	
0	760	699	717	771	820	854	885	892	892	889	877	877	869	820	762	679	557	407	265	116	38	11	0	0	
0	786	688	666	690	777	830	861	871	890	891	885	876	859	852	799	728	633	519	379	231	81	22	2	0	
0	804	718	693	745	821	867	880	894	901	894	891	891	883	872	836	788	709	619	508	378	207	61	16	1	
0	810	723	712	771	821	824	881	895	899	890	877	890	888	877	858	827	777	711	621	519	374	211	60	14	
1	867	750	723	766	818	830	860	894	895	888	891	893	896	888	874	849	825	770	715	655	552	424	267	114	
35	904	782	739	765	819	850	837	887	858	895	886	902	905	898	885	877	857	824	786	756	698	628	536	418	
244	912	775	710	726	782	828	853	861	880	889	892	900	910	896	898	885	876	852	837	827	801	775	737	680	
585	914	750	615	613	666	734	789	832	847	865	883	893	899	901	898	887	882	870	859	854	852	852	840	832	
801	918	732	548	487	517	594	680	739	793	832	854	882	894	896	900	896	888	881	876	884	886	890	894	899	
895	912	708	457	348	377	433	541	629	696	765	810	858	876	887	897	893	894	884	887	896	902	912	924	942	
938	876	551	253	158	158	187	293	397	516	635	735	808	838	863	875	876	871	869	882	893	904	916	931	944	
944	887	445	160	67	61	67	96	169	274	421	590	719	787	831	849	849	846	850	875	890	906	921	935	944	
945	921	554	298	122	62	39	46	73	138	270	513	698	802	851	873	882	876	878	891	908	921	936	943	947	
945	946	705	502	367	251	145	104	114	159	305	558	772	856	895	912	916	915	910	919	929	940	944	948	948	
948	937	895	602	545	517	463	418	408	458	651	858	924	938	942	941	938	937	934	937	942	946	949	949	949	
950	931	931	877	734	658	633	638	709	846	943	950	949	949	944	863	769	924	886	891	911	927	949	949	949	

950
