	751	769	720	521	605	742	516	0	0	1	492	613	632
	310	203	234	200	198	426	300	45	0	24	104	299	411
	777	340	357	364	505	421	454	140	81	111	243	289	480
	779	762	429	434	461	520	379	229	205	244	360	371	440
	779	774	747	361	437	398	411	236	252	367	457	416	499
	781	774	746	609	352	334	393	301	282	439	559	503	555
	781	771	655	566	427	295	356	266	321	353	581	556	580
	685	631	452	311	382	344	287	242	236	338	515	572	608
	360	353	222	217	342	326	379	216	204	342	551	601	616
	162	157	157	172	279	320	331	204	173	328	597	629	591
	17	33	25	76	370	238	244	163	205	334	542	541	532
	1	14	5	28	68	79	137	116	267	319	441	427	456
	0	6	10	13	34	73	128	169	179	316	477	394	486
	0	20	5	11	38	72	207	129	143	253	514	544	451
	5	10	2	12	50	109	167	122	142	223	521	543	450
	122	99	41	60	209	166	228	169	173	316	515	447	524
	663	310	121	198	346	274	236	212	267	322	450	469	547
	777	681	301	234	361	304	270	242	237	207	443	487	552
	745	737	495	286	352	308	360	230	171	206	440	509	557
	609	642	672	386	367	371	308	169	188	200	430	493	559
	475	614	735	648	612	422	235	194	231	233	445	519	599
	496	625	723	711	641	329	221	145	155	166	405	475	638

781
