	104	83	62	50	43	21	8	3	6	3	3	1	1	0	0	1	2	3	2	2	1	2	2	2	1	1	1	1
	120	83	52	31	16	4	2	0	1	1	0	0	0	0	0	1	2	1	1	2	3	4	5	1	0	1	1	1
	105	53	33	12	6	3	1	0	1	1	0	0	0	0	0	1	3	3	3	2	3	4	4	2	0	2	2	1
	109	49	17	8	3	3	1	1	1	1	0	0	0	0	0	1	2	3	2	2	3	4	4	3	0	2	2	2
	91	34	17	4	2	0	1	0	1	1	0	0	0	0	1	2	4	3	0	1	2	2	2	1	0	1	1	2
	80	46	16	8	3	1	1	0	1	1	0	1	0	0	2	1	2	3	1	1	2	2	3	1	1	2	1	3
	64	28	19	6	4	1	1	0	0	1	0	0	0	0	1	0	1	1	1	1	2	2	3	1	1	1	2	3
	41	23	14	5	2	2	1	1	0	1	0	0	1	0	1	0	1	1	1	1	3	2	2	1	1	4	2	4
	36	19	6	3	2	1	1	1	1	2	0	1	0	0	1	0	1	0	1	1	3	2	2	3	4	5	4	6
	27	14	7	4	2	1	1	1	0	1	0	1	1	1	1	1	1	0	1	1	2	1	2	2	4	4	4	6
	32	13	6	4	4	1	1	1	0	1	0	0	1	1	0	0	1	0	1	0	1	1	1	2	4	4	5	6
	19	11	4	5	4	1	2	1	0	1	0	0	1	0	0	1	1	0	1	1	2	1	1	3	4	5	4	6
	19	11	4	6	3	2	1	1	0	0	0	1	0	0	0	1	0	0	1	1	2	1	1	2	3	3	3	4
	17	6	5	4	2	2	1	1	1	2	0	0	0	0	0	1	0	0	2	1	2	2	1	2	2	4	2	4
	11	2	1	4	2	1	1	1	1	1	0	0	0	0	0	0	0	0	1	1	1	1	1	2	2	2	2	3
	9	2	2	1	2	1	1	1	1	1	0	0	1	1	1	0	0	1	1	3	2	1	1	2	3	2	2	3
	6	4	3	1	1	1	0	0	0	0	0	0	0	0	0	0	0	2	1	1	2	1	1	2	1	2	1	1
	3	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	1	2	3	4	2	1	1	2	1	1	2	1
	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	2	4	3	2	3	3	1	1	1	1	2	1
	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0	1	2	4	3	3	3	3	2	1	1	1	3	1
	2	2	4	3	2	0	0	0	0	0	1	0	0	1	0	1	4	3	4	4	2	3	2	2	1	2	2	1
	1	3	3	2	1	1	1	0	0	0	0	0	0	0	1	1	3	4	3	3	3	2	2	2	1	2	2	1
	0	1	2	1	0	2	1	0	0	0	0	1	0	0	2	1	3	4	3	2	3	2	2	2	1	3	2	1
	4	6	5	2	3	3	2	0	0	0	0	0	0	1	2	3	1	4	3	2	4	0	1	1	1	3	2	1
	1	3	3	4	4	2	1	0	0	0	0	1	0	1	2	2	2	3	2	3	2	0	1	1	2	4	0	0
	9	10	9	6	4	2	2	0	0	0	0	1	0	0	2	3	2	3	2	3	2	0	0	1	1	3	0	0
	9	6	8	10	3	3	2	0	0	0	0	1	1	0	2	3	1	1	2	5	3	1	0	0	0	1	0	0
	21	8	10	12	8	3	2	0	0	0	0	0	0	1	2	3	1	1	1	4	2	0	0	0	0	0	1	1
	35	20	14	11	12	5	3	1	1	0	0	0	0	1	2	2	1	1	2	3	1	0	0	0	0	0	1	1
	49	30	24	16	12	3	2	1	0	0	0	0	0	1	2	2	1	2	2	4	2	0	0	0	0	0	1	1
	59	42	36	22	11	5	2	0	0	0	0	0	0	1	2	1	1	3	1	3	1	0	0	0	0	0	1	1
	91	64	56	35	18	9	3	0	0	0	0	0	0	1	2	1	1	3	1	2	1	0	0	0	0	0	1	1
	93	73	64	45	26	7	5	0	0	0	0	0	0	1	1	1	2	2	1	3	1	0	0	0	0	0	1	1
	106	83	66	50	31	12	5	0	0	0	0	0	0	1	1	1	2	2	1	3	0	0	0	0	0	0	1	0
	123	100	64	51	31	15	7	0	1	0	0	0	0	1	2	1	2	2	1	0	1	0	0	0	0	0	0	0
	115	95	75	52	34	17	12	1	1	0	0	0	0	0	1	1	1	1	1	0	1	0	1	0	0	0	0	0
	128	105	75	54	37	23	13	4	1	0	0	0	0	0	0	1	1	1	0	0	2	1	0	0	0	0	0	0
	164	124	129	76	46	29	19	10	6	3	1	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0
	136	94	73	62	47	34	31	25	21	10	7	4	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0
	142	92	58	44	29	20	28	22	17	15	13	3	0	0	0	0	0	0	0	0	2	2	1	1	0	0	0	0

751
