	873	873	723	207	314	45	55	3	2	4	0	0	0	2
	300	74	240	55	16	62	1	0	0	0	0	0	0	1
	173	163	40	59	229	98	24	11	8	16	16	30	34	15
	7	96	22	99	30	80	45	45	36	29	67	72	49	29
	14	9	10	18	50	71	46	33	41	74	93	83	73	80
	8	16	1	33	51	62	19	17	46	111	74	77	90	80
	7	5	14	95	118	77	18	11	37	60	89	91	74	66
	1	37	14	80	131	97	44	47	8	39	69	100	85	64
	24	52	19	76	79	90	66	22	25	26	46	84	90	68
	67	62	51	101	108	65	18	19	31	42	70	100	82	53
	1	3	3	6	40	17	6	4	9	16	22	64	31	5
	0	1	13	106	146	124	38	16	25	32	27	21	10	4
	0	6	43	81	129	131	38	9	18	34	27	10	6	7
	7	34	24	74	122	117	38	14	20	13	34	12	8	4
	45	68	25	78	108	100	30	15	10	26	22	26	17	3
	4	61	34	46	96	81	28	6	18	8	16	9	6	2
	2	3	19	40	57	49	5	21	9	14	16	10	15	7
	38	19	7	226	68	34	36	15	20	24	21	38	15	17
	31	12	14	32	300	165	41	13	16	18	28	16	21	20
	25	16	16	3	27	130	23	9	9	16	13	17	11	9
	147	42	3	0	0	3	11	5	7	6	3	7	5	7
	58	87	1	0	0	0	0	7	1	7	4	7	7	17
	372	48	34	0	0	1	0	0	5	4	2	2	7	11
	19	30	7	2	0	0	0	1	0	2	1	5	6	8
	301	136	2	0	0	0	0	0	0	0	4	0	1	1
	593	176	121	153	0	0	0	0	2	6	17	8	2	1
	0	1	3	0	0	0	0	0	0	0	0	0	0	0

879
