	nan	692.810442423	301.511562382	113.084281719	153.186309438	533.20067378	1126.95701919	1662.68213571	1636.79597811
	nan	2796.40492327	813.465540983	395.882256577	565.625920875	1005.83930587	1663.88069396	2028.63332162	2130.31270061
	nan	3040.13069894	561.211931544	627.034641949	1467.66146944	1524.54953531	1879.55763976	2460.98861083	2576.0189512
	2507.03447124	2265.9089314	1407.01874141	837.566112677	1644.03673082	1939.68046444	1727.48778177	2101.61573462	2588.60294385
	494.719546713	1886.23809461	1129.03478264	882.430028479	1465.98059921	1740.13298797	1836.51527651	1978.16883432	2462.47623221
	260.761197803	763.361096978	694.592051841	632.717676151	1359.79275164	1223.58290075	1877.70329256	2115.55731628	2000.44223802
	179.536869449	486.233933057	507.054103993	609.353179793	1570.45065782	2205.01543944	2162.91998674	2248.5541868	2025.57747004
	137.396353747	245.684471549	500.567024117	636.839476072	2180.75717873	2688.8523902	2439.6286962	2543.49996569	1966.3534759
	142.807726619	236.386622104	377.110106525	913.54754866	2622.7987227	2542.92693538	2504.3480724	2544.56415942	2179.25172011
	135.394822706	246.247561219	509.715466875	808.33660644	2100.3994755	2524.47006286	2445.49042043	2367.8934021	2340.97594382
	138.907875474	407.125052261	766.80593592	939.868815959	1962.39043557	2321.27551434	2347.0022286	2314.93791522	2341.63680127
	133.332659511	643.058841179	912.824388238	998.921823383	1651.62254313	1843.99112002	2198.66987864	2259.17661137	2463.83991894
	880.017032401	2463.95261268	1748.8855334	1065.28745348	2217.49642876	2082.27318355	2003.00498339	2279.45246212	2495.3317062
	nan	3603.94060018	2779.97391433	1769.53331357	2357.63429208	2386.84404784	2501.1149722	2256.47853778	2136.24870349
	nan	1663.41626009	2058.332616	1142.99581256	1749.76734916	1927.79934453	2272.9181953	2149.00366316	2070.05835918
