	167	146	164	150	145	125	105	84	48	23	10	7	3	1	1	2	2	3	6	42	145	501	605	587	506	456	463	498	481	431	378	325	297	214	137	162	114	44	28
	181	153	157	171	170	146	118	88	62	31	18	6	2	2	1	1	1	3	11	57	275	561	592	558	486	458	443	449	454	414	360	297	239	274	340	247	181	108	42
	176	146	169	178	177	150	130	89	61	35	23	5	2	1	1	1	1	2	9	129	423	551	570	546	506	476	443	451	437	401	360	303	308	399	412	368	243	173	76
	168	165	180	186	173	155	128	104	71	38	19	7	4	2	2	2	2	1	28	185	462	570	595	551	500	484	459	449	433	394	361	332	373	429	428	389	287	210	100
	200	198	208	202	183	152	145	116	90	40	23	14	9	6	3	3	3	4	54	230	502	594	604	556	524	487	464	436	420	392	358	421	433	443	429	362	283	223	85
	251	232	237	219	184	153	142	124	84	50	40	22	11	10	6	4	25	36	105	337	550	603	608	595	586	536	479	455	424	394	407	526	557	491	442	428	339	210	107
	272	277	269	224	175	159	141	106	81	61	52	35	23	17	11	16	37	37	151	345	552	602	606	595	582	563	504	471	432	409	458	559	559	547	534	523	499	386	298
	326	318	301	242	202	171	138	100	83	71	59	50	29	25	22	21	36	42	130	345	526	597	602	591	574	562	510	478	463	443	466	557	550	558	544	538	525	460	419
	352	341	323	290	227	158	130	115	86	79	74	63	45	31	30	24	27	30	91	239	443	592	596	595	576	547	489	481	469	455	453	524	556	555	529	550	545	537	507
	385	372	370	322	237	158	136	112	98	89	85	74	51	39	35	23	26	29	44	104	223	576	594	586	581	544	476	488	483	467	463	513	531	535	519	520	537	533	522
	383	380	379	288	216	169	137	114	103	92	87	77	58	47	41	28	28	33	41	78	234	497	575	573	559	507	481	477	476	471	505	532	518	515	535	547	544	555	546
	410	407	378	309	258	205	160	128	114	95	89	81	62	49	43	34	31	38	44	79	236	445	541	550	514	477	471	477	480	485	527	549	521	506	518	533	558	550	538
	430	408	392	350	299	241	192	154	119	97	87	83	69	54	49	40	36	39	46	72	262	398	514	512	494	465	461	474	481	479	511	537	508	471	471	457	438	366	277
	423	407	394	362	309	263	212	171	126	104	88	83	71	65	57	43	39	42	48	80	276	429	501	517	498	469	469	484	489	482	502	533	501	468	460	419	391	317	229
	429	397	393	356	325	273	225	175	120	96	85	84	67	61	59	49	45	40	48	93	300	449	497	503	494	465	475	485	481	492	501	517	485	442	395	360	332	304	237
	425	408	388	354	311	262	221	175	112	93	78	80	64	59	56	51	44	44	48	97	303	449	495	500	507	483	473	471	481	492	499	516	478	424	378	334	278	282	214
	427	417	399	348	301	242	202	157	112	89	77	76	68	59	58	43	40	43	48	99	296	438	475	513	514	487	469	468	471	492	500	525	475	409	353	280	220	168	123
	440	426	411	371	296	224	181	139	92	84	79	76	70	62	59	41	38	44	54	95	275	412	470	513	520	486	469	467	472	476	500	528	491	391	331	288	201	126	87
	451	434	416	381	300	198	147	106	87	78	76	77	70	63	59	42	38	38	51	80	246	396	480	506	506	487	484	478	481	475	482	525	503	407	355	320	199	99	69
	459	451	428	397	336	222	131	108	84	76	76	73	68	60	54	40	35	34	37	64	246	410	479	501	503	496	496	482	484	475	478	511	485	413	348	315	161	75	48
	469	458	436	388	326	224	141	100	93	76	65	70	71	61	54	40	34	31	35	61	281	448	484	524	531	526	507	498	489	476	484	490	451	377	313	258	156	80	48
	484	467	436	372	294	223	164	124	99	88	69	66	65	61	51	39	31	28	32	72	236	424	501	552	549	540	522	507	505	498	496	515	456	370	317	241	151	82	48
	501	478	457	401	331	244	173	141	102	83	77	76	69	62	56	37	32	26	30	74	250	402	493	553	572	550	537	545	534	528	523	534	464	360	265	235	157	88	54
	511	491	469	430	364	281	221	164	113	92	86	83	74	66	59	41	36	31	40	132	385	448	492	553	579	568	576	581	558	528	529	537	459	336	243	208	168	99	61
	522	502	488	458	418	346	282	215	155	111	99	87	77	69	60	45	40	36	44	163	393	445	465	539	583	587	593	593	569	533	527	529	455	328	259	211	179	126	83
	534	522	503	487	460	422	364	290	208	116	106	88	77	70	65	44	37	32	76	184	340	391	507	562	585	590	600	592	568	544	549	527	467	374	308	261	211	173	117
	527	522	511	508	500	475	446	379	303	145	121	99	81	73	73	48	43	48	95	178	273	425	537	577	592	595	597	588	570	559	558	548	514	401	333	309	246	207	141
	495	492	499	506	513	511	493	455	396	211	146	104	95	80	72	59	53	54	71	151	310	483	577	592	598	602	601	579	570	550	558	571	537	438	374	358	321	215	135
	369	401	415	448	478	479	478	490	477	344	178	165	162	115	95	73	76	75	123	235	424	563	597	597	601	600	598	576	553	539	558	554	533	434	379	393	337	227	125
	165	204	231	251	281	301	321	367	436	401	315	376	301	219	175	109	111	171	274	435	557	597	573	547	548	576	567	538	519	506	523	515	478	399	378	382	335	251	172
	63	79	93	110	124	154	188	227	255	256	381	494	510	483	395	237	258	369	533	586	502	453	368	356	386	413	424	420	442	442	470	482	463	411	410	423	374	318	302

611
