	309	376	410	404	382	330	344	394	402	409	402	428	484	512	509	454	425	484	574	609	606	603	621	607	605	596	601	604	615	636	644	653	673	668	678	676	696	717	722
	326	397	415	422	374	323	301	359	430	445	431	421	489	528	529	456	402	408	492	535	535	563	593	603	605	606	606	606	615	630	632	660	687	695	694	699	710	741	744
	354	412	425	398	358	313	303	313	406	465	436	419	481	541	553	471	388	383	451	476	507	536	582	592	604	614	616	623	623	645	649	658	703	711	715	715	727	756	746
	368	411	406	380	351	303	292	313	362	397	421	429	484	528	522	453	378	380	414	440	470	500	561	582	600	614	624	627	629	659	664	676	713	734	736	732	738	754	740
	372	388	389	350	333	290	292	310	331	345	380	420	487	508	473	406	359	344	363	394	419	456	528	561	592	620	648	655	647	675	676	706	738	742	746	742	739	745	737
	350	366	357	343	305	273	279	300	314	326	349	374	450	455	417	353	302	305	318	342	366	418	496	536	578	618	663	676	675	693	696	732	737	739	744	738	733	735	734
	332	336	352	324	285	269	269	281	313	329	340	336	351	386	375	314	248	273	289	290	329	381	451	502	551	614	683	696	688	700	706	733	738	736	738	727	719	728	728
	328	335	344	317	276	262	261	289	312	332	334	299	299	314	336	286	236	243	267	272	305	334	394	441	506	591	701	703	689	704	707	733	730	729	722	706	696	727	718
	342	343	334	294	267	263	275	314	345	353	335	293	289	274	280	276	230	229	241	263	284	309	345	391	461	549	679	698	685	700	721	734	727	708	696	684	696	733	721
	335	333	318	283	270	276	288	323	389	369	334	298	276	258	244	236	220	209	233	248	281	301	334	366	436	506	643	692	675	707	723	728	708	699	682	662	675	723	687
	322	325	312	282	282	286	305	349	401	398	362	299	279	244	230	213	207	214	234	244	273	296	339	368	424	492	625	678	680	718	712	701	700	686	675	646	639	654	636
	313	311	312	301	294	307	322	359	394	402	375	302	268	256	235	215	199	209	245	251	268	287	349	374	422	507	660	695	695	707	696	686	684	684	666	639	618	616	613
	315	320	336	338	336	350	376	407	445	449	423	357	311	283	268	241	222	221	281	297	302	322	379	418	478	627	752	768	707	694	684	688	685	665	647	628	598	608	613
	280	296	309	316	307	313	312	351	352	351	350	318	288	260	248	236	215	216	238	250	280	312	351	384	444	600	761	757	685	662	647	659	657	640	629	606	594	616	596
	348	372	385	387	366	375	394	422	446	439	435	407	383	356	341	311	276	256	282	303	338	388	424	467	518	648	776	772	706	664	645	647	644	630	617	606	611	648	637
	382	389	416	398	368	367	391	418	424	432	424	407	403	375	371	337	279	248	278	299	321	365	438	490	537	601	694	713	680	649	638	621	608	606	613	604	612	650	656
	397	409	408	392	368	361	373	402	416	417	422	399	390	371	380	358	290	263	290	296	305	354	421	488	550	589	650	663	660	644	629	611	593	594	615	615	615	654	655
	384	398	392	379	356	336	355	362	368	387	392	370	368	347	349	328	268	260	294	290	301	353	400	457	528	586	634	617	622	637	622	608	585	587	618	614	611	656	651
	368	377	375	357	330	311	321	322	328	346	357	338	334	297	299	293	258	252	281	280	293	325	377	430	500	555	617	595	587	620	619	597	587	588	618	609	602	644	646
	330	349	338	318	289	279	278	281	299	316	320	311	303	269	275	267	254	246	262	267	282	319	363	421	465	505	597	595	586	602	606	595	583	583	598	579	586	643	633
	310	328	311	293	263	254	258	269	283	300	301	289	271	256	249	247	239	237	267	270	277	316	370	410	438	485	587	596	594	609	581	568	577	578	575	557	567	633	632
	285	285	265	261	234	231	238	246	261	273	278	267	252	239	240	227	220	226	255	266	263	305	350	363	407	476	572	589	584	585	572	542	553	564	565	544	552	612	617
	219	231	233	234	214	208	219	229	229	232	236	236	226	219	209	210	198	199	233	265	269	285	291	312	384	471	591	580	557	565	557	534	540	537	547	536	542	601	595
	178	193	199	200	192	183	183	201	198	196	208	205	206	196	182	185	178	182	224	266	260	248	259	275	353	443	563	560	532	522	525	515	512	504	509	512	514	575	556
	146	161	158	158	153	148	147	157	158	165	168	173	180	168	163	165	157	166	248	256	202	197	213	250	307	408	499	527	504	509	506	512	510	500	482	478	486	543	523
	104	101	114	117	117	117	107	115	120	126	134	136	148	151	143	144	144	150	182	196	175	171	195	212	253	343	417	452	464	496	503	497	504	478	454	438	441	498	500
	85	76	67	63	69	66	71	86	87	94	96	106	114	113	116	110	110	115	125	135	135	127	137	166	192	265	345	400	420	463	476	479	457	433	410	380	363	432	452
	54	41	33	33	36	35	38	52	59	67	71	74	87	79	74	81	74	80	91	98	105	98	103	126	153	226	303	350	384	426	451	450	422	377	363	330	307	372	415
	40	24	19	14	11	16	20	34	33	37	42	48	45	48	42	46	44	39	62	65	52	44	46	72	109	185	279	338	357	402	416	420	388	354	309	278	260	351	390
	26	13	7	5	3	1	4	4	8	11	13	16	17	19	18	16	19	16	21	13	10	9	10	23	52	132	250	338	325	367	375	390	359	325	279	228	244	327	389
	8	7	2	1	1	1	1	0	0	0	0	0	3	5	5	6	9	7	5	2	2	0	1	3	38	127	262	354	337	357	386	403	372	318	254	211	233	324	372

817
