	587	547	541	523	464	447	447	439	422	415	407	398	402	396
	650	518	548	590	458	466	449	417	410	415	406	401	396	399
	615	491	531	524	485	451	429	399	400	417	419	431	428	406
	479	462	505	549	502	439	409	390	401	409	421	424	448	426
	420	413	491	496	459	418	400	365	393	421	427	432	434	435
	405	441	450	421	415	400	376	350	384	404	396	430	428	445
	423	395	415	432	386	362	361	357	371	374	407	420	438	435
	399	345	390	420	355	348	357	349	354	381	410	421	428	435
	351	302	331	350	338	334	342	333	332	371	395	404	424	432
	259	250	279	303	326	327	316	326	354	381	404	418	412	414
	163	190	204	240	261	269	312	311	351	371	392	412	417	416
	83	122	144	193	177	201	274	284	318	353	371	380	389	390
	57	102	127	146	152	166	258	271	303	329	346	356	367	351
	54	87	102	143	129	167	253	257	298	324	343	351	341	358
	45	84	100	138	141	177	266	259	287	323	327	331	343	360
	28	65	86	148	144	185	260	265	298	316	318	339	344	356
	26	45	102	165	145	194	255	260	296	305	328	339	356	369
	66	65	120	170	168	198	259	257	277	309	330	353	348	367
	107	80	99	153	157	195	257	250	280	311	346	352	357	377
	135	100	108	145	168	196	215	235	271	311	347	366	368	392
	189	139	158	176	166	193	201	238	299	344	350	359	375	382
	243	179	199	192	160	175	208	253	295	329	353	366	369	372
	282	209	202	190	169	199	214	266	286	337	354	359	367	380
	282	242	188	197	192	212	215	236	283	307	328	326	354	366
	318	250	229	220	245	216	218	223	250	272	310	319	343	359
	299	297	263	260	214	206	226	225	239	260	285	291	327	353
	255	306	260	240	207	212	210	214	232	241	254	278	297	331

1026
