	75	60	33	24	27	113	103	169	341	445	594	78	7	7	0	2	0	5	2	0	1	0	0	0	0
	12	9	13	0	0	36	63	151	354	412	231	24	2	2	0	0	0	0	0	0	0	0	0	0	0
	2	0	0	0	0	0	0	1	21	8	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
	3	0	0	0	0	0	0	0	1	2	12	2	4	15	27	18	6	5	3	3	2	0	0	0	0
	138	16	1	0	1	0	0	0	0	0	15	18	48	42	22	21	13	13	10	7	7	0	0	0	0
	175	149	5	0	1	0	0	0	0	0	32	62	58	50	27	41	36	34	30	28	17	0	0	0	0
	21	69	20	1	2	0	0	0	0	7	101	47	36	37	23	19	26	37	36	32	15	4	0	0	0
	160	38	35	18	2	0	0	0	5	45	112	36	32	26	19	13	9	16	22	29	16	1	0	0	0
	46	34	25	12	5	0	0	2	41	55	73	20	17	25	15	17	8	3	14	20	19	1	0	0	0
	44	52	30	7	18	3	9	21	65	35	49	17	14	19	15	14	13	6	9	11	4	0	0	0	0
	44	22	7	4	16	50	136	83	59	18	42	15	14	18	8	12	6	11	12	11	0	0	0	0	0
	47	5	4	4	56	217	304	189	37	17	32	15	13	17	8	11	5	7	8	4	0	0	0	0	0
	5	4	4	35	155	225	148	105	80	24	37	13	9	16	10	11	3	2	3	2	1	0	0	0	0
	4	5	29	125	168	130	63	27	45	59	32	12	6	14	14	10	1	0	0	0	0	0	0	0	0
	13	60	179	161	91	68	65	32	10	25	59	45	45	56	73	35	7	0	1	0	1	0	0	0	0
	2	6	18	16	12	22	31	6	2	2	9	9	8	22	16	2	1	1	0	0	0	0	0	0	0
	2	13	163	218	256	285	269	236	157	118	63	45	30	5	0	1	1	0	0	0	0	0	0	0	0
	7	9	9	11	37	47	59	34	23	11	25	14	12	7	1	0	0	0	0	0	0	0	0	0	0
	6	4	6	5	26	35	54	39	24	13	31	5	1	5	8	1	0	0	0	0	0	0	0	0	0
	3	4	5	3	23	32	47	38	20	19	16	1	1	6	3	2	1	0	0	0	0	0	0	0	0
	4	3	5	4	20	31	36	34	32	10	4	0	2	1	1	2	2	0	0	0	0	0	0	0	0
	1	3	5	2	20	30	37	32	15	3	4	1	1	0	2	3	5	1	0	0	0	0	0	0	0
	1	3	3	4	20	25	44	10	6	1	9	1	0	0	4	3	1	1	0	0	0	0	0	0	0
	1	2	2	3	16	19	13	2	3	3	5	0	0	3	7	1	1	1	0	0	0	0	0	0	0
	0	1	2	5	16	8	2	1	3	1	8	1	2	7	4	1	1	1	0	0	0	0	0	0	0
	0	31	125	179	79	45	30	22	8	4	11	12	24	8	7	6	4	1	1	0	0	0	0	0	0
	0	0	60	93	32	2	12	2	0	1	10	2	2	2	5	2	1	0	1	0	1	0	0	0	0
	25	6	1	4	10	44	1	3	1	6	26	2	1	0	0	0	0	0	2	0	1	0	0	0	0
	1	1	1	1	5	25	19	6	4	15	10	0	0	0	0	2	0	1	5	10	0	0	0	0	0
	0	0	0	0	0	3	46	13	42	6	12	0	0	0	0	0	1	4	7	4	1	0	0	0	0
	0	0	0	0	0	0	1	16	11	4	3	0	0	2	0	4	3	7	4	2	0	0	0	0	0
	0	0	0	0	1	0	1	1	9	10	4	0	0	0	2	6	4	2	0	0	0	0	0	0	0
	1	0	0	0	1	0	0	0	1	6	10	1	0	2	2	4	1	0	0	1	3	0	0	0	0
	5	0	0	0	0	0	0	0	0	0	6	2	1	3	2	0	0	0	0	3	1	0	0	0	0
	19	3	0	0	0	0	0	0	0	0	3	4	8	3	0	0	0	1	3	2	2	0	0	0	0
	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0
	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0
	13	2	0	0	0	0	0	0	0	0	0	7	2	0	2	5	0	1	1	2	1	0	0	0	0
	19	19	14	5	0	0	0	0	0	1	0	1	1	6	87	183	27	65	61	40	24	0	0	0	0

961
