	751	745	749	641	521	613	652	754	516	0	0	0	1	365	635	661	632	744
	153	160	145	70	126	131	352	489	297	38	0	0	12	84	202	351	435	592
	733	175	225	170	276	397	329	449	402	143	37	18	47	141	175	301	449	583
	779	654	311	314	367	509	482	478	448	242	139	101	147	261	286	330	461	592
	779	766	691	321	434	433	488	472	379	263	229	216	244	359	355	398	440	573
	779	774	771	585	306	448	397	456	421	231	269	246	360	418	383	413	490	560
	781	776	775	682	515	308	368	370	403	299	236	292	434	558	464	473	544	595
	781	775	771	691	593	448	289	356	377	286	306	296	448	596	543	522	565	645
	781	776	736	562	566	456	339	311	356	275	292	305	353	576	587	551	580	658
	743	698	576	408	366	404	367	357	274	265	250	282	348	519	551	574	616	636
	516	466	396	255	251	334	348	372	331	219	224	231	358	531	533	591	619	641
	236	362	236	170	213	330	322	393	374	236	180	222	335	540	614	599	618	649
	162	211	132	118	172	284	303	343	331	237	182	197	328	556	618	623	591	626
	49	78	43	33	95	323	363	266	275	196	184	204	342	530	572	571	560	567
	7	30	17	11	55	179	201	177	175	114	174	260	309	442	487	463	477	576
	1	19	8	13	18	47	55	123	125	100	174	243	325	458	408	400	469	564
	0	9	6	12	13	29	45	121	128	143	154	195	316	474	418	403	486	522
	0	18	9	7	11	19	36	133	187	130	130	171	256	462	536	491	445	484
	2	22	6	5	10	25	60	170	190	129	122	131	234	477	583	532	462	427
	3	16	5	5	12	24	86	185	157	124	139	141	235	489	523	505	467	451
	122	136	51	51	60	165	201	232	228	148	170	195	316	522	494	456	524	549
	554	353	125	105	194	274	301	297	229	189	229	280	338	476	469	477	544	578
	767	627	271	245	213	317	331	310	214	206	261	259	276	418	469	479	549	590
	775	771	560	266	241	323	350	347	319	251	248	211	202	419	491	486	560	601
	745	714	710	404	286	293	333	385	360	254	211	175	206	400	506	506	557	591
	639	617	735	609	348	311	366	435	352	235	165	170	210	400	478	496	554	582
	578	599	728	671	513	437	433	408	282	164	195	166	215	381	444	486	558	609
	490	592	733	724	702	664	544	429	227	181	210	186	219	410	472	545	603	655
	496	610	736	717	711	690	558	359	221	157	150	130	166	370	433	493	638	676
	587	612	707	707	639	606	480	408	243	98	72	42	77	277	330	460	654	691

781
