	313	384	412	520	523	477	445	456	459	480	487	502	446	424	391	375	356	349	343	354	344	353	347	356	366	369	382	380	390	370
	257	358	425	463	449	422	440	453	468	484	495	481	441	407	389	371	353	348	342	342	348	357	355	363	370	360	369	375	395	380
	195	297	380	422	404	425	406	437	457	483	474	459	410	405	384	373	348	338	333	345	354	355	370	368	367	362	374	380	385	386
	125	251	349	402	396	407	392	424	448	452	445	436	401	402	372	366	345	326	316	330	340	356	373	360	375	367	375	369	379	384
	102	226	332	382	371	434	413	428	451	440	414	422	377	390	376	363	326	313	312	317	344	349	353	367	361	367	381	370	372	382
	89	195	314	344	384	445	420	412	421	416	388	393	364	369	366	346	326	300	310	317	341	334	362	360	354	370	379	368	377	390
	89	186	299	337	382	457	405	392	402	406	394	394	348	377	350	337	315	305	313	341	327	330	354	358	364	357	371	366	376	387
	93	173	295	381	396	425	382	391	395	411	404	391	345	361	336	326	317	315	326	317	333	322	334	354	364	363	372	369	390	389
	132	205	325	393	395	407	359	368	385	419	391	395	328	344	330	333	312	309	323	321	323	325	332	348	372	368	383	370	383	394
	170	258	371	405	384	390	338	353	373	422	396	392	323	339	327	334	318	319	323	324	327	329	342	348	372	365	379	368	383	399
	228	323	387	392	376	379	331	337	353	392	365	380	308	323	337	328	321	313	311	306	324	343	334	350	358	367	384	377	377	388
	291	351	366	385	349	350	298	328	320	345	336	360	313	330	318	321	313	308	311	323	308	325	340	341	362	359	367	379	382	389
	316	346	311	306	289	316	267	275	285	316	304	351	299	316	311	303	298	284	306	310	310	334	347	362	368	363	371	372	380	390
	319	323	271	269	257	290	247	258	273	297	289	311	302	321	317	297	293	294	308	309	328	339	350	368	375	372	385	384	372	378
	320	262	230	233	209	266	211	217	237	267	256	277	273	283	272	287	294	298	305	309	324	338	344	355	385	363	377	376	378	382
	268	222	196	171	161	180	185	184	197	222	223	260	236	239	260	271	290	281	296	310	323	333	337	350	361	365	376	383	375	378
	231	158	131	119	118	144	135	155	166	211	209	240	208	227	223	255	278	265	284	293	309	312	331	351	362	364	381	367	369	373
	162	109	95	76	83	121	119	128	140	175	181	201	160	177	191	214	248	244	272	284	302	316	325	339	346	339	347	355	354	344
	108	75	67	60	60	105	97	127	127	161	147	171	140	155	164	205	234	235	259	268	282	298	312	335	337	338	339	344	335	332
	80	44	44	50	57	113	100	131	125	140	143	159	142	153	160	193	233	237	257	257	292	294	311	331	326	328	330	338	336	326
	46	25	27	34	60	111	89	129	109	131	142	161	125	152	158	195	244	231	246	271	280	298	309	335	317	328	326	333	332	324
	26	9	16	43	54	115	87	110	101	125	141	157	121	152	162	211	234	236	248	265	286	307	309	326	324	323	330	334	315	325
	17	18	20	41	43	110	74	108	101	130	136	162	125	145	163	222	244	235	242	255	270	291	309	316	316	323	331	325	323	318
	17	22	29	48	45	93	84	102	100	140	138	161	135	148	173	230	249	241	250	262	274	299	308	321	311	321	314	319	322	327
	9	15	16	27	33	81	74	102	97	130	139	161	136	160	167	229	258	253	272	263	286	293	307	319	309	311	316	320	323	327
	14	26	16	24	28	64	65	89	86	122	148	171	138	158	181	215	246	250	258	275	285	295	299	312	300	314	320	319	324	331
	25	31	14	15	24	65	64	87	93	135	151	175	144	168	185	219	236	246	262	274	292	298	305	301	304	309	325	318	325	329
	47	41	27	26	26	65	45	92	102	144	163	189	143	169	192	227	246	245	256	274	284	299	288	300	308	307	320	315	334	329
	64	61	34	48	54	79	68	86	133	164	165	191	161	176	199	224	242	247	249	271	282	282	286	301	309	317	322	321	328	339
	73	76	55	69	66	69	65	80	120	148	169	184	167	181	195	225	248	255	252	265	266	287	291	294	306	317	329	331	322	331
	94	87	82	93	79	89	75	94	104	140	168	179	166	195	202	233	246	252	252	249	269	287	292	302	310	324	320	326	320	336
	103	114	83	108	107	93	80	86	99	141	153	196	156	183	193	223	248	237	242	253	267	285	297	301	324	327	327	330	330	328
	102	124	111	129	122	115	85	96	112	133	148	184	160	182	199	221	227	222	237	242	270	286	289	313	331	334	333	344	337	337
	97	131	147	142	135	126	100	96	108	147	145	165	166	183	191	207	208	208	230	250	257	284	297	322	327	326	341	338	339	340
	96	139	156	184	164	150	115	122	132	147	156	174	158	185	190	205	212	221	245	264	288	298	315	321	329	335	330	350	346	355
	115	146	178	191	189	167	139	142	158	165	175	185	160	174	188	196	196	211	232	258	289	311	328	327	334	336	339	351	346	354
	129	152	219	245	214	202	162	169	174	191	184	202	162	158	181	195	214	219	244	257	291	317	312	324	321	334	347	350	352	351
	133	151	238	284	243	219	179	191	198	212	191	188	157	156	172	206	201	227	247	273	286	319	315	324	334	336	346	354	342	342
	140	155	270	297	269	225	189	199	205	206	199	188	166	163	207	205	203	224	254	278	292	318	315	340	341	348	342	358	342	343
	151	166	251	291	282	258	209	208	202	212	190	178	165	171	194	202	203	223	260	272	279	308	322	335	338	336	342	347	339	343
	122	198	239	254	282	274	217	219	204	203	186	190	170	177	187	205	210	209	244	256	278	296	319	329	338	332	331	341	332	336

965
