	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
	nan	nan	nan	nan	nan	nan	nan	nan	nan	0.0	0.0	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
	nan	nan	0.0	93.5705081743	91.5190679362	119.402639828	90.0382634711	82.7054260614	103.22095662	144.9607207	138.029501265	124.852644351	115.660422502	63.1673125517	76.4	90.0382634711	141.014325513	0.0	nan	nan	nan	nan	nan	nan	nan
	nan	90.0382634711	145.17317385	169.334167393	187.512493386	196.537961019	180.555214209	195.058584835	208.576273916	227.759906322	197.605291227	186.788033821	172.817345426	197.691367711	199.468734271	169.721969335	146.036541618	90.0382634711	nan	nan	nan	nan	nan	nan	nan
	nan	155.48558425	197.66331231	235.217927304	260.390949825	274.793622401	276.480775379	280.615494971	282.333470275	291.534237813	279.661833931	251.653176465	229.433243679	231.260897179	207.132597613	203.020152256	196.263167814	169.561185286	126.7907331	95.5	0.0	nan	nan	nan	nan
	nan	172.024401178	229.850581729	275.842670915	312.062521347	331.408265012	328.758110295	330.22940353	342.857667549	346.426553062	322.154644799	300.180926537	278.907264199	274.254529987	261.72905749	263.924211112	251.38727465	231.732531362	223.740884397	255.751617786	153.507871677	0.0	nan	nan	nan
	nan	189.250696944	254.644573754	308.105752535	338.130302645	360.8411218	359.968445112	374.747992684	379.627660052	380.786735685	362.138813992	340.301352247	334.131491913	329.510001586	312.669959818	316.336353555	306.266291779	282.182363767	252.058202759	261.234888734	288.742523536	153.507871677	0.0	nan	nan
	nan	195.451706567	282.285412439	338.909875724	365.140763349	381.361860896	403.091007545	414.493825165	421.941558007	414.779783781	389.937750609	389.225144392	363.665332308	356.134509919	361.656582594	342.819011851	354.307752193	334.698295247	299.623121052	289.436996614	345.741752432	248.018648492	0.0	nan	nan
	nan	186.258887931	308.872352786	367.885463609	397.523315695	419.783810399	437.987870922	451.987811039	441.915517266	435.001550113	417.655274479	384.706033454	371.330932682	371.102777012	394.872503228	387.236267717	399.429320511	372.217624463	340.899925597	336.311475224	349.277915706	240.768528622	95.5	nan	nan
	nan	231.327369848	345.797159999	401.191935442	432.925282094	457.358400537	477.161351477	473.815350879	473.139705682	459.325624991	434.723563045	425.713662075	391.683056948	389.67157632	394.49034545	423.66020435	441.171655001	422.714373041	381.626150615	368.755666393	388.271596506	369.147241559	206.526481353	nan	nan
	nan	297.303289746	369.793426598	429.027982033	461.482477314	470.999380959	502.142902646	511.702547693	484.090275555	478.686320427	460.411127744	432.741420381	412.185196548	420.639425927	427.965323148	455.786538938	476.802679408	469.217983995	415.258506234	397.634469877	408.856516098	453.125753072	294.104667687	95.5	nan
