0	0	0	0	0	0	4	25	72	191	394	510	
467	0	0	0	0	0	5	25	96	194	299	355	
314	69	21	4	4	9	78	221	360	526	624	559	
532	276	112	29	20	39	134	331	460	602	690	650	
581	296	135	45	34	51	134	277	450	555	680	663	
549	170	101	93	65	95	184	319	403	626	706	631	
483	68	75	86	142	147	250	319	454	578	659	523	
325	13	26	51	130	238	247	363	449	490	503	433	
150	1	3	11	65	137	344	377	331	321	355	227	
57	0	0	4	30	155	407	522	388	349	278	158	
37	0	0	2	42	185	413	519	525	356	239	129	
23	0	0	6	70	188	398	587	564	448	267	122	
6	0	0	9	60	139	396	525	516	445	318	107	
2	0	1	4	39	183	353	453	473	406	323	131	
2	0	3	10	64	151	348	434	430	389	351	188	
15	0	6	11	60	156	365	434	443	447	423	314	
73	9	19	24	65	126	319	430	514	529	572	502	
343	21	9	4	9	50	123	269	350	465	554	626	
508	20	2	0	0	1	38	107	222	384	628	627	
509	29	1	0	0	0	2	48	135	411	589	583	
441	2	0	0	0	0	0	7	83	255	414	412	

1017
