	1265	1211	1193	1220	1214	1062	797	616	617	849	753	663
	1271	1219	1215	1202	1183	1014	814	648	716	777	801	710
	1271	1258	1183	1082	995	827	605	585	640	728	641	658
	1260	1231	1103	1015	943	679	629	577	704	777	716	685
	872	1115	1037	984	844	653	609	633	702	889	833	816
	193	773	870	820	761	526	473	506	708	884	900	880
	18	225	379	724	642	408	380	421	660	911	894	912
	0	13	101	373	521	293	289	387	605	880	917	931
	0	0	26	161	277	290	299	390	610	865	929	965
	0	0	13	62	175	261	346	424	631	902	934	958
	0	0	6	47	171	201	346	476	741	911	945	920
	0	0	2	55	182	204	286	536	826	947	934	926
	0	0	12	88	180	177	314	538	774	922	957	912
	0	0	29	112	201	237	349	503	715	870	926	860
	0	0	48	123	327	326	365	490	707	816	811	860
	0	22	198	380	512	415	455	508	733	848	807	805
	11	103	468	669	652	526	478	571	721	881	864	816
	92	413	774	755	767	521	500	553	700	834	840	814
	267	913	1000	894	754	535	482	537	659	777	792	754
	1119	1106	1177	1096	936	598	503	536	654	752	741	743
	1275	1257	1203	1198	1098	813	646	653	758	814	778	837

1275
