	nan	nan	8513.5	8166.8	5053.48	4261.16666667	4270.43067227	4338.14112291	4581.61585366	5066.3381295	5000.68712871	4814.07807309
	nan	nan	8328.375	7372.5	6625.01754386	4553.26744186	4363.37391304	4449.11661342	4723.05555556	5247.05785124	5469.60840708	5290.43302752
	6093.33333333	5118.18181818	6854.68965517	6628.61267606	6114.23265306	5094.17006803	4615.31381381	4575.67101449	4876.10126582	5370.33584906	5409.79571664	5429.07044674
	4366.53333333	4782.31818182	6134.67105263	6249.19196429	5872.5755627	5055.76570458	4693.5007776	4586.24246772	4776.50175439	5276.20582121	5327.71348315	5317.80392157
	4003.89826303	4341.975	5232.84978541	5223.67148014	5228.4452381	4763.18387097	4499.75301205	4415.6796875	4538.42307692	5012.18181818	5044.51923077	5178.15914489
	3901.89833641	4184.19361277	4579.79207921	4597.55210643	4577.21653543	4399.42780749	4263.76	4244.875	4423.03174603	4588.74338624	4765.04956268	4824.41292135
	3914.98329356	4104.27809524	4418.73214286	4433.03636364	4388.63607595	4224.04849885	4151.52743561	4178.75526932	4297.77198697	4716.42857143	4639.78	4693.64634146
	3933.04078431	4059.01743265	4272.120954	4434.34922395	4377.19496021	4219.27189409	4160.31643002	4152.35698198	4335.19431988	4744.51075269	4837.27795527	4883.16838488
	3926.23215686	4006.89882353	4151.38030424	4307.84290844	4364.10921844	4239.9857868	4166.24385246	4176.70169492	4322.92284418	4898.93606138	5113.84507042	5541.0
	3898.58509804	3951.78745098	4048.56180666	4156.80708986	4260.05545455	4284.34319527	4210.90958019	4164.80470588	4369.4703125	5129.87315634	5535.32142857	5820.27638191
	3901.09882353	3946.44470588	4000.51851852	4065.70521173	4120.32789855	4253.71787709	4286.0818084	4250.61278195	4454.67624521	5429.42244224	5801.26315789	6146.04587156
	3928.15294118	3963.23843137	3998.62372349	4024.3442623	4052.90667887	4140.16526611	4280.380182	4468.44850949	4758.97176471	5774.42125984	6211.69026549	6179.80660377
	3960.86039216	3990.31764706	4009.12351544	4021.59646167	4019.61004566	4087.49817851	4237.98855359	4534.60326087	5149.56595745	6150.29770992	6186.10945274	6290.99547511
	3971.20235294	3998.02039216	4015.46548957	4023.18314703	4030.82681564	4104.2938343	4207.52699784	4440.93774319	5182.65185185	6252.64477612	6595.58333333	6535.67286245
	3949.67137255	3997.39058824	4013.09616952	4027.6328125	4062.96624473	4163.25711275	4232.26813187	4368.14904459	4888.14388489	6042.8025	6567.37570621	6420.87822878
	3911.86745098	3977.43814844	4012.49489322	4033.68826816	4094.42857143	4232.05116279	4276.21829268	4317.41851369	4705.14877589	5766.92931937	6342.66666667	6436.33136095
	3866.82041139	3952.73293515	4028.04708798	4055.11881188	4168.81861958	4322.33244326	4318.16708543	4361.37037037	4723.55185185	5440.73756906	5730.90651558	6020.61333333
	3860.80388842	3934.12645012	4066.01397206	4088.52793834	4238.93503937	4351.01458886	4363.12387097	4465.52288488	4745.70141343	5133.35576923	5151.34653465	5501.47201946
	3863.00496032	3922.70718232	4114.61818182	4193.85789474	4265.82884615	4391.96887686	4413.09343434	4406.56598639	4593.91789819	4901.61554622	5059.65	5535.15336134
	3899.96794872	4026.08928571	4718.4494382	4372.63529412	4621.74924471	4623.76311844	4522.45064935	4426.58231293	4629.97875817	5210.41117764	5577.78470825	5530.89330544
	nan	5577.25	4849.57142857	6016.39285714	5885.66666667	5230.6443418	4758.46103896	4514.12540717	4956.18273092	6005.36	6197.60941176	5754.88948787
