	0.0	0.0	0.0	7.77960784314	53.0094117647	187.834509804	596.03372549	1381.43058824	2033.17803922
	0.0	0.0	0.0	0.0	23.0478431373	154.740392157	406.36	825.683137255	1387.93568627
	209.120784314	323.56627451	126.791372549	29.902745098	75.3223529412	81.3560784314	127.890196078	493.121568627	883.229019608
	412.796078431	599.591372549	175.774117647	147.088627451	182.007843137	205.643137255	314.471372549	652.333333333	944.434509804
	1183.87607843	975.530196078	430.756862745	356.876078431	408.967058824	496.55372549	508.114509804	735.352941176	895.070588235
	2190.01176471	1376.33098039	872.167058824	761.710588235	895.581960784	853.487058824	658.431372549	693.751372549	871.411764706
	3493.42823529	2118.02352941	1187.19686275	938.814117647	1170.4627451	1209.69176471	878.765490196	608.84	824.403137255
	4544.53568627	3142.31843137	1456.03529412	1254.60156863	1253.26588235	1520.94666667	929.465098039	810.90745098	885.712156863
	5278.34666667	3902.01960784	2052.69176471	1722.26431373	1564.34352941	1644.19137255	1635.99843137	1068.46823529	1033.09019608
	5229.54980392	4255.66509804	2464.24	2189.79686275	1840.98980392	1990.25568627	1596.75843137	1426.5772549	984.824313725
	4361.28705882	3475.88078431	3079.22352941	2428.41490196	2670.02352941	2577.57647059	1974.16	1171.34745098	744.388235294
	2636.34196078	3761.59137255	2975.55372549	2777.00470588	3025.93960784	2900.50039216	1886.28156863	710.48627451	627.458039216
	3141.08784314	3152.74901961	2726.32470588	2706.23686275	3093.86588235	2778.48705882	1467.93490196	879.251764706	403.087058824
	2325.69647059	2969.43372549	2426.25254902	2470.06117647	2728.26901961	2370.24941176	1466.88470588	719.034509804	480.569411765
	2451.49647059	2548.00705882	2128.78117647	1891.88784314	2082.94117647	1962.55607843	879.643137255	835.418039216	815.13254902
