	376.517683004	320.196968878	335.582997034	170.73553551	357.669427328	395.723863099	405.503420992	254.53423179	237.109292265	205.13009453	375.149459793	487.448310091	397.603794071
	763.550493387	857.26534808	855.022717813	887.200972483	898.645274364	908.009903885	921.098660002	821.751733775	777.928199615	887.572021238	926.446405332	975.639864906	954.301056001
	920.598443012	954.536062861	957.257362534	954.483775752	971.662250361	959.509633009	932.842633934	946.949996048	964.188202123	972.757288957	970.185397789	945.078249744	904.986329428
	954.798255734	941.680916334	907.51287942	927.423238544	876.305462708	770.344033886	805.98787947	732.148248174	743.213444659	837.927293358	807.820009911	849.336595071	851.030611116
	869.566689454	745.35630063	629.0475172	615.216923543	637.439860317	618.407253199	694.640053677	641.541547168	646.560089432	700.181539379	722.14646558	741.798208234	721.415633871
	819.123937932	642.007286942	607.900650186	586.755321308	664.870624066	667.51072639	739.31097792	731.193866229	734.718005491	751.916819967	749.986213956	760.100212132	740.560554141
	768.017376924	610.268352705	562.581293403	583.911751333	656.460720791	739.485746554	792.882910942	830.730557422	845.111434558	806.248265676	788.549847342	778.27629253	776.671360176
	853.642137276	622.601616329	601.764588381	563.681688478	677.853439493	755.722585612	853.992048163	819.119488942	901.382694982	900.69660734	841.373499167	822.573585629	796.8604279
	944.762373669	706.829719582	605.232338131	542.130043413	634.205047387	791.770370257	876.124628784	874.993089507	871.742011566	967.366583085	902.151155536	878.398690487	813.379630764
	960.230511455	849.324278136	660.45214725	592.864854747	624.389952624	715.592427704	882.602034692	858.552283174	903.810080984	937.636976776	945.671046731	905.557918524	863.964709324
	899.614746441	916.536417506	783.989967386	691.978663286	641.660838586	693.879321454	789.221309211	869.631695414	882.657642678	934.301795746	924.275115028	953.023481671	874.777998336
	735.071387228	956.113215284	883.51245277	806.759594444	749.754746218	717.05340591	783.033098581	796.964206142	886.370720413	923.789600614	910.122325137	913.590803848	936.739237323
	458.047112458	915.700420607	945.992556983	899.352943124	851.48841753	829.468098259	812.777889027	821.187032079	838.326072574	936.33366335	903.854867906	917.241033895	912.088442641
	328.756425054	801.969802298	940.504743664	955.469466002	923.077329457	906.468239032	905.636756277	854.793547812	862.166517644	909.071194728	932.868000099	918.536075241	918.227824931
	211.976275396	643.167386121	850.326395499	936.826430017	960.359430952	954.217623556	956.905510434	911.240709114	890.738082391	929.419284486	907.817833183	935.799265403	936.716634949
	165.120779977	498.793516946	712.248644698	836.877659665	933.271202569	963.030424981	971.240792507	957.801770594	943.422063193	939.321310121	930.473605322	932.331627809	963.30145642
	135.203091324	379.072964472	552.566597354	708.532301587	837.868905177	920.441027364	932.709494821	976.838570383	976.197457194	975.312055062	956.403395292	962.083864256	960.350620793
	117.392014981	298.656439839	461.215872307	610.714230168	717.791072727	809.437885228	831.283421642	942.126349563	979.669744245	987.853081298	980.663774127	971.55724773	963.439385677
	97.6741876034	282.615121812	353.8646824	515.534252919	613.134011091	692.699429066	712.556044616	874.527432626	948.819230864	971.640698778	989.039000941	985.112984079	970.155386634
	97.8297237135	192.860743872	304.614440123	437.4956738	521.654215316	559.11229343	616.458358797	750.180483308	845.500444495	902.716374476	974.050330168	989.273479577	986.691308019
	98.158794891	179.520437212	292.945466135	376.44706155	465.926524404	477.453314513	516.378646219	615.877189139	700.459237668	732.019005318	898.114333801	953.278856075	987.592545715
	98.158794891	181.844204212	225.345782743	330.496720678	384.30056404	425.868442842	429.625268465	540.815520987	590.410028048	542.261854882	747.294966155	867.541316689	952.051184541
