0	35	34	33	34	44	51	61	66	65	61	67	58	52	47	43	35	30	
30	35	31	34	38	46	55	58	65	70	65	68	62	53	52	49	33	29	
28	31	37	35	38	48	52	54	62	63	63	65	57	55	61	46	40	29	
32	40	35	34	37	47	51	48	55	54	51	58	50	53	53	47	42	36	
31	44	41	32	33	45	41	42	47	47	49	48	52	54	49	42	41	38	
29	48	42	34	37	40	38	40	42	43	44	48	53	50	49	39	47	41	
39	44	47	36	37	36	35	38	40	42	44	50	50	50	49	43	43	46	
40	52	44	45	39	33	33	34	42	41	45	46	51	50	48	46	48	48	
49	55	49	43	38	31	30	34	38	40	43	49	48	44	47	45	49	51	
52	58	49	41	33	27	30	32	37	35	41	44	42	41	44	50	51	54	
55	55	43	34	29	25	29	30	31	34	36	40	42	39	42	47	51	57	
57	55	41	35	30	24	27	24	28	27	35	38	40	39	43	43	53	61	
62	52	38	39	34	25	23	24	26	29	34	37	36	38	43	45	49	59	
60	46	42	35	30	25	21	19	19	20	25	29	29	34	42	40	48	56	
59	44	39	31	29	24	24	18	18	16	22	25	28	27	36	40	43	55	
52	49	35	30	26	26	22	19	19	15	20	22	26	28	33	33	40	45	
50	41	32	28	24	23	22	19	19	17	18	20	24	29	29	28	36	41	
46	36	33	29	27	23	20	22	19	13	13	18	23	26	26	28	33	39	
40	37	30	28	27	23	26	24	19	12	14	15	17	25	26	27	31	35	
38	28	23	25	24	22	24	25	19	12	11	11	17	19	21	22	24	32	
34	22	23	19	24	21	25	20	16	12	11	10	10	17	13	19	23	27	

1671
