0	34	28	22	20	29	38	43	54	53	53	55	52	42	41	40	37	35	27	17	16	15	11	16	17	19	30	46	62	77	111	156	180	200	211	207	
194	54	42	36	38	37	45	53	51	53	46	40	40	40	32	29	27	23	23	17	12	12	15	16	19	21	33	45	65	82	129	173	194	226	237	236	
215	103	87	75	69	74	78	71	79	69	52	43	39	31	33	28	25	21	17	17	15	12	12	16	19	26	30	35	67	86	134	198	216	235	249	250	
235	169	151	130	121	115	107	105	94	76	72	57	48	38	35	28	25	19	17	19	16	12	9	10	16	23	29	35	66	94	137	214	238	249	250	257	
230	252	223	184	162	149	133	117	98	90	84	78	63	55	44	41	38	34	26	23	19	11	9	14	18	18	19	35	60	89	128	188	220	235	244	241	
216	314	259	208	178	155	137	119	107	95	93	82	72	58	51	48	40	40	42	32	28	18	16	22	26	28	24	39	70	93	133	188	208	231	237	234	
205	334	294	227	188	160	144	122	106	98	81	72	72	63	53	52	43	53	54	54	57	41	36	42	43	38	37	65	95	125	171	217	236	233	233	228	
187	357	306	257	207	166	145	119	98	82	74	67	65	64	58	56	50	56	64	71	66	67	65	72	77	74	86	110	146	193	241	253	252	250	239	211	
179	357	308	261	208	171	142	127	96	77	59	64	62	56	44	49	48	65	74	78	84	91	92	105	120	123	145	171	201	241	285	288	278	266	242	209	
171	346	303	253	203	177	139	127	93	67	60	59	62	52	39	40	48	68	78	83	104	115	128	146	166	191	214	225	259	297	326	322	293	264	244	202	
154	345	288	242	191	163	144	111	82	61	55	48	50	43	36	39	40	64	75	93	114	135	147	171	194	207	242	249	273	313	322	307	284	252	224	185	
135	340	285	230	183	148	130	98	74	57	47	42	45	36	34	34	35	50	66	84	107	131	141	169	184	211	258	276	304	330	321	291	277	225	193	148	
108	332	283	224	173	139	122	92	75	53	43	33	34	32	28	30	32	48	63	80	101	123	133	161	179	206	276	294	317	335	325	282	250	210	157	125	
88	323	276	220	173	134	108	84	71	47	39	28	28	28	24	28	32	40	53	69	98	114	124	158	178	215	258	286	305	313	286	254	224	174	129	83	
63	310	263	211	164	128	104	80	61	43	31	24	22	22	20	17	22	35	45	60	80	101	125	153	177	208	240	262	269	268	251	228	180	141	91	64	
53	291	245	203	159	122	96	71	57	37	28	23	20	24	18	15	20	32	44	49	63	78	102	136	168	199	226	236	247	227	195	167	141	99	71	57	
37	284	238	191	146	109	88	64	48	38	23	20	22	21	18	13	21	29	39	46	55	60	78	108	145	171	191	206	198	181	156	131	106	73	54	42	
24	264	213	164	123	91	77	53	42	28	17	17	17	19	17	18	21	25	34	38	40	48	61	89	114	131	152	158	150	138	123	99	89	61	44	29	
22	218	181	137	100	79	58	46	35	23	14	13	14	14	15	10	15	16	24	27	32	37	56	66	91	101	107	122	118	101	88	74	55	46	34	22	
17	160	140	101	77	64	48	39	30	15	8	9	13	11	11	10	10	14	16	18	24	34	39	55	63	71	75	83	78	79	74	62	46	33	24	17	
16	115	95	81	59	51	37	30	19	12	8	7	8	7	9	8	9	10	15	17	20	28	34	35	43	49	56	66	65	64	47	42	29	21	19	16	
18	85	77	58	47	41	32	29	14	9	6	6	7	6	8	5	4	6	8	8	9	12	17	22	28	24	25	36	43	43	38	30	23	18	20	14	
13	68	61	55	37	33	26	16	11	9	7	7	6	8	6	2	4	5	6	4	5	10	12	10	10	11	16	20	28	26	27	24	22	18	19	13	
11	31	30	39	29	27	18	15	11	11	7	6	6	4	4	4	2	3	6	4	5	3	7	11	10	11	12	17	20	18	24	21	19	14	11	11	
10	30	30	28	25	21	17	12	9	9	6	7	6	6	4	4	3	4	4	5	3	4	6	7	10	9	11	11	10	13	13	12	12	9	8	9	
6	14	15	14	15	17	14	11	8	6	6	2	4	5	5	4	3	2	3	3	3	4	4	7	7	8	8	8	7	8	7	7	9	6	4	3	

1474
