	171	189	203	223	252	277	300	341	369	377	378	382	399	405	424	428	407	415	413	415	426	429	412	409	390	368	345	320	306	310	322	321	261	245	217	206
	166	194	215	225	254	279	307	344	366	381	375	386	388	411	435	434	419	423	423	423	436	435	423	416	395	388	361	324	313	302	322	313	274	228	210	205
	166	194	214	229	250	277	305	337	369	384	374	373	389	410	447	442	428	423	428	429	451	448	433	425	409	388	366	337	321	298	300	290	272	248	218	215
	182	206	228	242	257	281	304	344	377	395	379	376	402	427	450	458	451	439	434	438	462	463	452	432	421	394	379	357	342	330	313	308	290	269	247	232
	203	218	246	268	279	281	301	344	389	399	395	396	420	447	465	480	472	444	438	430	449	448	434	436	423	403	380	370	356	342	317	317	292	272	245	238
	283	300	313	333	331	343	351	374	410	431	418	419	436	464	494	502	493	468	451	434	444	441	435	422	413	390	380	365	362	341	321	327	299	275	246	243
	325	337	374	385	395	393	427	432	463	483	498	510	510	514	533	521	499	488	472	457	476	458	434	423	421	406	387	369	358	338	327	330	314	281	248	239
	346	365	385	407	426	438	455	504	534	564	540	532	557	577	564	548	524	489	477	472	480	470	441	436	433	410	398	389	362	342	350	353	329	283	253	234
	333	366	404	419	444	452	471	531	580	590	564	561	581	606	598	587	533	528	502	488	492	500	470	478	453	422	414	393	380	363	372	372	340	281	242	229
	346	385	410	425	441	464	489	537	602	597	572	575	610	624	634	612	563	547	527	523	511	510	508	507	473	421	404	393	392	377	390	388	350	278	241	231
	342	372	404	422	438	445	489	536	601	597	590	588	590	612	626	622	585	562	536	519	508	515	511	508	486	436	409	403	396	380	405	395	358	281	237	223
	337	354	396	419	433	446	484	526	577	594	595	606	610	611	624	629	595	610	577	575	577	579	561	588	546	419	405	397	392	377	400	385	358	283	230	223
	341	344	385	413	429	442	469	501	565	576	583	593	602	607	631	631	613	599	584	591	592	586	581	577	550	405	389	374	369	355	379	375	334	265	222	218
	339	362	389	410	431	449	467	505	557	578	588	603	617	624	643	649	612	593	584	564	585	589	557	556	521	442	401	403	379	385	368	345	327	252	223	205
	349	370	392	424	445	464	471	515	555	584	601	613	626	638	678	658	612	581	581	577	581	561	531	525	496	474	430	410	379	383	358	323	283	241	205	185
	376	395	417	439	446	461	495	514	550	577	590	608	618	626	666	655	609	583	576	570	590	578	538	532	488	444	420	388	370	379	343	306	272	224	196	189
	390	406	435	444	472	470	497	526	545	571	583	600	606	614	651	647	609	580	575	577	600	587	551	523	488	438	417	395	385	369	332	293	268	215	190	188
	396	423	441	451	478	479	511	536	565	570	580	590	597	616	646	643	610	594	591	596	611	593	554	532	506	451	426	396	380	372	332	277	251	211	192	178
	396	403	441	449	481	499	518	546	566	577	562	576	593	610	649	641	615	591	583	583	606	587	543	531	507	471	438	410	391	386	355	294	246	213	186	181
	375	406	428	457	490	502	510	523	557	560	577	573	591	613	639	634	619	579	578	577	591	569	536	520	508	493	454	433	410	391	353	299	261	218	193	187
	333	373	427	470	493	501	497	522	544	556	569	587	581	598	630	636	624	599	580	564	570	556	530	517	497	480	456	428	406	378	354	308	270	231	212	203
	319	369	432	471	482	483	483	510	515	538	549	555	569	583	614	624	625	606	568	542	541	525	510	496	484	468	468	432	395	374	349	323	288	252	221	212
	276	317	368	399	414	425	434	435	457	463	453	453	469	488	548	561	580	570	522	495	472	464	467	480	498	476	468	442	414	399	386	373	338	285	250	246
	285	341	337	373	391	400	415	454	481	493	501	525	526	551	571	582	611	595	560	545	534	533	541	565	575	561	522	502	458	441	441	420	379	321	295	284
	274	314	326	337	374	385	417	485	528	560	530	550	561	576	611	625	604	587	604	601	611	608	640	630	611	563	526	507	485	472	448	415	370	325	305	292
	384	414	388	378	387	401	416	478	520	541	522	541	547	551	578	578	566	561	571	570	576	572	579	593	600	563	547	535	539	532	526	486	416	388	360	329

1474
